ref_num,authors,year,country,site_name,geo_area,N_pair,N_pair_state,latitude,longitude,elevation,elev_raster,avg_annual_precip,precip_raster,avg_annual_temp,temp_raster,climate,aridity_index_study,aridity_category,aridity_index,crop type_study,crop_type,multiple_crops,tillage_freq_study,tillage_freq,tillage_type,residue_removal,grazed,cover_crop,inorganic_N_applied,herbicide,OM_applied,inorganic_C_applied,years_since_irrig_t1,years_since_irrig_t2,study_duration,study_duration_cat,irrig_method,irrig_methodcat,irrig_water_type,irrig_water_pH,irrig_water_bicarbonate,irrig_water_Ca,irrig_water_OC,irrig_water_N,study_scale,soil_upper_limit,soil_lower_limit,soil_sample_thickness,depth_category,depth_cat_2,BD_t1,BD_t2,BD_t1_rf,BD_t2_rf,soil_texture,soil_texture_t1,per_sand_t1,per_clay_t1,soil_texture_t2,per_sand_t2,per_clay_t2,soil_pH_t1,soil_pH_t2,total_C_n_t1,total_C_n_t2,total_C_t1,total_C_t2,total_C_sd_t1,total_C_sd_t2,total_C_st_t1,total_C_st_t2,total_C_st_sd_t1,total_C_st_sd_t2,total_C_st_t1_calc,total_C_st_t2_calc,log_total_C_rr,organic_C_n_t1,organic_C_n_t2,organic_C_t1,OC_t1_calc,organic_C_t2,OC_t2_calc,log_organic_C_rr,OC_change_rate,per_OC_change,organic_C_sd_t1,organic_C_sd_t2,organic_C_t1_cov,organic_C_t2_cov,organic_C_t1_sd_calc,organic_C_t2_sd_calc,organic_C_st_t1,organic_C_st_t2,organic_C_st_t1_calc,organic_C_st_t2_calc,organic_C_st_sd_t1,organic_C_st_sd_t2,organic_C_st_t1_cov,organic_C_st_t2_cov,organic_C_st_sd_t1_calc,organic_C_st_sd_t2_calc,log_organic_C_st_rr,OC_st_change_rate,per_OC_st_change,inorganic_C_n_t1,inorganic_C_n_t2,inorganic_C_t1,inorganic_C_t2,inorganic_C_sd_t1,inorganic_C_sd_t2,inorganic_C_sd_t1_cov,inorganic_C_sd_t2_cov,inorganic_C_sd_t1_calc,inorganic_C_sd_t2_calc,inorganic_C_st_t1,inorganic_C_st_t2,inorganic_C_st_sd_t1,inorganic_C_st_sd_t2,inorganic_C_st_t1_calc,inorganic_C_st_t2_calc,inorganic_C_st_t1_cov,inorganic_C_st_t2_cov,inorganic_C_st_t1_sd_cov,inorganic_C_st_t2_sd_cov,log_inorg_C_rr,total_N_n_t1,total_N_n_t2,total_N_t1,total_N_t2,total_N_sd_t1,total_N_sd_t2,total_N_t1_cov,total_N_t2_cov,total_N_t1_sd_calc,total_N_t2_sd_calc,total_N_st_t1,total_N_st_t2,total_N_st_sd_t1,total_N_st_sd_t2,total_N_st_t1_calc,total_N_st_t2_calc,log_total_N_rr,total_N_st_t1_cov,total_N_st_t2_cov,total_N_st_t1_sd_calc,total_N_st_t2_sd_calc
7b,Faria et al.,2004,Brazil,Petrolina-1,South America,no,,9° 23' S,40° 30' W,,382,,515,,25.7,,0.2655,Semi-Arid,3.7204,woody perennials,woody crops,no,,,na,,no,no,yes,,,yes,6,9,3,short term,microsprinkler,sprinkler,fresh,,,,,,Plot,10,20,10,10-20cm,10-20cm,1.473893103,1.481357833,1.473893103,1.481357833,coarse,LS,80,10,LS,80,10,6.5,6.5,,,,,,,,,,,,,,5,5,6.8,6.8,7.1,7.1,0.043172172,0.1,4.411764706,0.6375,0.5847063,,,0.6425592,0.598387634,10.0224731,10.51764061,10.0224731,10.51764061,0.942563483,0.58727942,,,0.942563483,0.58727942,0.048224024,0.165055838,4.940572142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8a,Follett et al.,2005,Mexico,Bajio Research Station,North America,no,,20° 30' N,100° 49' W,,1753,380,647,,18.7,,0.338,Semi-Arid,2.9706,cereals,cereals,yes,0,never,NT,no,no,no,yes,yes,no,no,1,6,5,short term,flood,floodfurr,fresh,,,,,,Plot,0,15,15,0-10cm,0-10cm,0.95,1.11,1.008300862,1.101932,fine,C,,,C,,,,,4,4,16.7,17.3,,,,,,,25.25793659,28.5951354,0.035297782,4,4,16.7,16.7,17.3,17.3,0.035297782,0.12,3.592814371,1.565625,1.4247069,,,1.5780498,1.458043109,23.7975,28.8045,23.7975,28.8045,2.238035888,1.608373083,,,2.238035888,1.608373083,0.190951092,1.0014,21.04002521,,,,,,,,,,,,,,,,,,,,,,4,4,1.3,1.6,,,,,0.208445532,0.382905983,,,,,1.966186681,2.6446368,0.207639365,,,0.245773335,0.377805257
8a,Follett et al.,2005,Mexico,Bajio Research Station,North America,no,,20° 30' N,100° 49' W,,1753,380,647,,18.7,,0.338,Semi-Arid,2.9706,cereals,cereals,yes,0,never,NT,no,no,no,yes,yes,no,no,1,6,5,short term,flood,floodfurr,fresh,,,,,,Plot,15,30,15,20-30cm,20-30cm,1.02,1.13,1.051885057,1.141159833,fine,C,,,C,,,,,4,4,14.1,18.2,,,,,,,22.24736896,31.15366344,0.255246797,4,4,14.1,14.1,18.2,18.2,0.255246797,0.82,29.07801418,1.321875,1.4988246,,,1.3323654,1.533895063,21.573,30.849,21.573,30.849,2.028832785,1.722532981,,,2.028832785,1.722532981,0.357661802,1.8552,42.99819218,,,,,,,,,,,,,,,,,,,,,,4,4,1.2,1.6,,,,,0.192411261,0.382905983,,,,,1.893393103,2.738783599,0.287682072,,,0.236674138,0.3912548
8b,Follett et al.,2005,Mexico,Bajio Research Station,North America,no,,20° 30' N,100° 49' W,,1753,380,647,,18.7,,0.338,Semi-Arid,2.9706,mixed,cereals,yes,0,never,NT,no,no,no,yes,yes,no,no,1,6,5,short term,flood,floodfurr,fresh,,,,,,Plot,0,15,15,0-10cm,0-10cm,0.95,0.96,1.006027299,1.047138667,fine,C,,,C,,,,,4,4,16.2,15,,,,,,,24.44646337,23.56062001,-0.076961041,4,4,16.2,16.2,15,15,-0.076961041,-0.24,-7.407407407,1.51875,1.235295,,,1.5308028,1.264199228,23.085,21.6,23.085,21.6,2.171028825,1.206091361,,,2.171028825,1.206091361,-0.066489741,-0.297,-6.432748538,,,,,,,,,,,,,,,,,,,,,,4,4,1.4,1.4,,,,,0.224479804,0.335042735,,,,,2.112657328,2.198991201,0,,,0.264082166,0.3141416
8b,Follett et al.,2005,Mexico,Bajio Research Station,North America,no,,20° 30' N,100° 49' W,,1753,380,647,,18.7,,0.338,Semi-Arid,2.9706,mixed,cereals,yes,0,never,NT,no,no,no,yes,yes,no,no,1,6,5,short term,flood,floodfurr,fresh,,,,,,Plot,15,30,15,20-30cm,20-30cm,1.02,1.07,1.021326149,1.099496833,fine,C,,,C,,,,,4,4,13.9,14.9,,,,,,,21.29465021,24.57375422,0.069472373,4,4,13.9,13.9,14.9,14.9,0.069472373,0.2,7.194244604,1.303125,1.2270597,,,1.3134666,1.255771233,21.267,23.9145,21.267,23.9145,2.000055015,1.3353274,,,2.000055015,1.3353274,0.117328394,0.5295,12.44886444,,,,,,,,,,,,,,,,,,,,,,4,4,1.3,1.4,,,,,0.208445532,0.335042735,,,,,1.991585991,2.308943349,0.074107972,,,0.248948249,0.32984905
9a,Halvorson and Jantalla,2011,USA,Fort Collins-1,North America,no,,40° 39' N,105° 0' W,1555,1550,400,382,9.5,9.1,semiarid,0.2278,Semi-Arid,4.4005,cereals,cereals,no,0,never,NT,no,no,no,yes,yes,no,no,1,11,10,medium term,sprinklers,sprinkler,fresh,,,,,,Plot,0,8,7.6,0-10cm,0-10cm,1.39,1.368049,1.441601,1.368049,fine,CL,41,34,CL,41,34,,,,,,,,,,,,,,,,3,3,11.41613025,11.41613025,15.18682137,15.18682137,0.285400747,0.377069112,33.02950328,1.070262211,1.2506803,,,1.078755812,1.279944523,12.06,15.79,12.06,15.79,1.1341827,0.88167512,,,1.1341827,0.88167512,0.269482637,0.373,30.92868988,,,,,,,,,,,,,,,,,,,,,,3,3,1.31,1.88,,,,,0.210049,0.449915,,,,,1.510797,2.057545,0.36124464,,,0.18885,0.293935
9a,Halvorson and Jantalla,2011,USA,Fort Collins-1,North America,no,,40° 39' N,105° 0' W,1555,1550,400,382,9.5,9.1,semiarid,0.2278,Semi-Arid,4.4005,cereals,cereals,no,0,never,NT,no,no,no,yes,yes,no,no,1,11,10,medium term,sprinklers,sprinkler,fresh,,,,,,Plot,8,15,7.6,10-20cm,10-20cm,1.39,1.359562,1.427124,1.359562,fine,CL,41,34,CL,41,34,,,,,,,,,,,,,,,,3,3,11.59598637,11.59598637,11.99109094,11.99109094,0.033504917,0.039510457,3.407252798,1.087123722,0.987502312,,,1.095751136,1.010608527,12.25,12.39,12.25,12.39,1.15205125,0.691827406,,,1.15205125,0.691827406,0.011363759,0.014,1.142857143,,,,,,,,,,,,,,,,,,,,,,3,3,1.37,1.68,,,,,0.21967,0.402051,,,,,1.368612,1.598844,0.203983054,,,0.171077,0.228406
9a,Halvorson and Jantalla,2011,USA,Fort Collins-1,North America,no,,40° 39' N,105° 0' W,1555,1550,400,382,9.5,9.1,semiarid,0.2278,Semi-Arid,4.4005,cereals,cereals,no,0,never,NT,no,no,no,yes,yes,no,no,1,11,10,medium term,sprinklers,sprinkler,fresh,,,,,,Plot,15,30,15,20-30cm,20-30cm,1.39,1.389846,1.440604,1.389846,fine,CL,41,34,CL,41,34,,,,,,,,,,,,,,,,3,3,10.77697842,10.77697842,10.60069485,10.60069485,-0.01649268,-0.017628357,-1.635742054,1.010341727,0.872999023,,,1.018359799,0.893426016,22.47,22.1,22.47,22.1,2.11319115,1.234010142,,,2.11319115,1.234010142,-0.016603478,-0.037,-1.646639964,,,,,,,,,,,,,,,,,,,,,,3,3,2.58,3.09,,,,,0.413684,0.739487,,,,,5.575138,6.441935,0.180381692,,,0.696892,0.920276
9b,Follett et al.,2013,USA,Fort Collins-1,North America,no,,40° 39' N,105° 0' W,1555,1550,400,382,9.5,9.1,semiarid,0.2278,Semi-Arid,4.4005,cereals,cereals,no,0,never,NT,no,no,no,yes,yes,no,no,3,11,8,medium term,sprinklers ,sprinkler,fresh,,,,,,Plot,30,60,30,40-50cm,30+cm,1.55,1.508464834,1.431629693,1.508464834,fine,CL,41,34,CL,41,34,,,,,,,,,,,,,,,,3,3,3.189247312,3.189247312,3.190882032,3.190882032,0.000512441,0.00020434,0.051257234,0.298991935,0.262778708,,,0.301364735,0.268927373,14.83,14.44,14.83,14.44,1.39468735,0.80629441,,,1.39468735,0.80629441,-0.026650023,-0.04875,-2.62980445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10a,Friedel et al.,2000,Mexico,Mezquital-1,North America,no,,20° 30' N,99° 15' W,1900,1707,550,348,17,18.3,semiarid,0.1849,Arid,5.3276,maize,cereals,yes,,,,no,no,,,,yes,,25,80,55,long term,flood,floodfurr,sewage,8.4,,,75.7,17.3,Farm,0,15,15,0-10cm,0-10cm,1.364309195,1.341263333,1.364309195,1.341263333,fine,,,34.5,,,26.1,7.9,7.7,,,,,,,,,,,,,,4,4,2.2,2.2,2.3,2.3,0.044451763,0.001818182,4.545454545,0.20625,0.1894119,,,0.2078868,0.193843882,4.502220344,4.627358499,4.502220344,4.627358499,0.423411312,0.258380422,,,0.423411312,0.258380422,0.027415502,0.002275239,2.779476476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10b,Friedel et al.,2000,Mexico,Mezquital-1,North America,no,,20° 30' N,99° 15' W,1900,1707,550,348,17,18.3,semiarid,0.1849,Arid,5.3276,maize,cereals,yes,,,,no,no,,,,yes,,25,80,55,long term,flood,floodfurr,sewage,8.4,,,75.7,17.3,Farm,0,15,15,0-10cm,0-10cm,1.360944828,1.321875333,1.360944828,1.321875333,fine,,,52.6,,,38.8,7.9,7.6,,,,,,,,,,,,,,4,4,1.7,1.7,2.7,2.7,0.462623522,0.018181818,58.82352941,0.159375,0.2223531,,,0.1606398,0.227555861,3.470409311,5.353595099,3.470409311,5.353595099,0.326374644,0.298931704,,,0.326374644,0.298931704,0.433495772,0.034239742,54.26408294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Ghimire et al.,2017,USA,Lingle,North America,no,,42° 7' N,104° 23' W,,1282,332,341,8.6,8.9,semiarid,0.2027,Semi-Arid,4.8592,mixed,cereals,yes,1,once,RT,no,no,no,yes,yes,no,no,8,10,2,short term,sprinklers,sprinkler,fresh,,,,,,Plot,0,10,10,0-10cm,0-10cm,1.421808908,1.436369833,1.421808908,1.436369833,medium,L,41,18,L,41,18,,,,,,,,,,,,,,,,6,6,14.20725379,14.20725379,16.63916872,16.63916872,0.158006813,1.215957465,17.11741739,1.331930043,1.370285462,,,1.34250024,1.402348283,20.2,23.9,20.2,23.9,2.1,2.4,0.103960396,0.10041841,1.899709,1.334517756,0.168195855,1.85,18.31683168,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,1.14,1.37,0.17,0.24,1.14,1.37,,0.149122807,0.175182482,0.1425,0.195714286
12,Halvorson et al.,2003,USA,Dalhart,North America,no,,36° 4' N,102° 30' W,,1215,,442,,12.6,semiarid,0.2113,Semi-Arid,4.7081,cereals,cereals,no,3,multiple,CT,no,no,no,yes,yes,no,no,1,4,3,short term,sprinklers,sprinkler,fresh,,,,,,Farm,0,20,20,0-10cm,0-10cm,1.393739656,1.294312583,1.393739656,1.294312583,coarse,SL,,,SL,,,,,,,,,,,,,,,,,,1,1,3.533658514,3.533658514,4.585445647,4.585445647,0.260553557,0.350595711,29.76482105,0.331280486,0.377625205,,,0.333909528,0.386461123,9.85,11.87,9.85,11.87,0.92634325,0.662791873,,,0.92634325,0.662791873,0.186542753,0.673333333,20.50761421,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1.44,2.09,,,2,2.81,,,,0.25,0.401428572
13,Hao et al.,2001,Canada,Lethbridge-1,North America,no,,49° 42' N,112° 48' W,915,918,,380,,6.3,semiarid,0.2928,Semi-Arid,3.4395,mixed,cereals,yes,annually,once,na,no,no,yes,yes,yes,no,no,1,4,3,short term,sprinklers,sprinkler,fresh,,,,,,Plot,0,15,15,0-10cm,0-10cm,1.405215517,1.421333833,1.405215517,1.421333833,fine,CL,,27.5,CL,,27.5,7.69,,,,,,,,,,,,,,,4,4,13.18896149,13.18896149,14.11819391,14.11819391,0.068084085,0.309744142,7.045531417,1.236465139,1.162675623,,,1.246277727,1.189880656,27.8,30.1,27.8,30.1,2.614451,1.680710646,,,2.614451,1.680710646,0.079489151,0.766666667,8.273381295,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,2.97,3.43,,,2.97,3.43,,,,0.37125,0.49
13,Hao et al.,2001,Canada,Lethbridge-1,North America,no,,49° 42' N,112° 48' W,915,918,,380,,6.3,semiarid,0.2928,Semi-Arid,3.4395,mixed,cereals,yes,annually,once,na,no,no,yes,yes,yes,no,no,1,4,3,short term,sprinklers,sprinkler,fresh,,,,,,Plot,15,30,15,20-30cm,20-30cm,1.414195402,1.434472667,1.414195402,1.434472667,fine,CL,,34.1,CL,,34.1,7.63,,,,,,,,,,,,,,,4,4,11.03100744,11.03100744,12.08341834,12.08341834,0.091123962,0.350803634,9.540478574,1.034156947,0.995105751,,,1.042364017,1.018389875,23.4,26,23.4,26,2.200653,1.451776638,,,2.200653,1.451776638,0.105360516,0.866666667,11.11111111,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,2.6,3.04,,,2.6,3.04,,,,0.325,0.434285714
14a,Haring et al.,2017,Ghana,Tamale,Africa,no,,9° 28' N,0° 51' W,,173,1111,1084,27.9,28.1,semiarid,0.5301,Dry sub-humid,1.8838,mixed,horticulture,yes,frequent,multiple,CT,,yes,,no,,yes,no,0,2,2,short term,sprinklers,sprinkler,mixed,,,,,,Plot,0,20,20,0-10cm,0-10cm,1.485881034,1.494794667,1.485881034,1.494794667,medium,,,5,,,5,,,,,,,,,,,,,,,,4,4,0.336500695,0.336500695,0.234145871,0.234145871,-0.36265591,-0.051177412,-30.41741807,0.03154694,0.019282615,,,0.031797297,0.019733802,1,0.7,1,0.7,0.2,0.1,0.2,0.142857143,0.094045,0.039086294,-0.356674944,-0.15,-30,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,1.1,0.7,0.2,0.1,1.1,0.7,,0.181818182,0.142857143,0.1375,0.1
14b,Haring et al.,2017,Burkina Faso,Ouagadougou,Africa,no,,12° 24' N,1° 29' W,,288,788,720,28.2,28.7,semiarid,0.5301,Dry sub-humid,1.8838,mixed,horticulture,yes,frequent,multiple,CT,,yes,,no,,yes,no,0,2,2,short term,sprinklers,sprinkler,mixed,,,,,,Plot,0,20,20,0-10cm,0-10cm,1.483216667,1.492084333,1.483216667,1.492084333,medium,,,8,,,8,,,,,,,,,,,,,,,,4,4,0.539368265,0.539368265,0.670203405,0.670203405,0.217182681,0.06541757,24.25710751,0.050565775,0.055193261,,,0.050967065,0.056484708,1.6,2,1.6,2,0.2,0.3,0.125,0.15,0.150472,0.111675126,0.223143551,0.2,25,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,1.6,2,0.2,0.3,1.6,2,,0.125,0.15,0.2,0.285714286
