ref,authors,year,continent,country,latitude,lat_extract,longitude,lon_extract,elevation,climatic_zone,annual_rainfall,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"Ferrara, G.,Mazzeo, A.,Matarrese, A. M. S.,Pacifico, A.,Fracchiolla, M.,Al Chami, Z.,Lasorella, C.,Montemurro, P.,Mondelli, D.
",2014,europe, Italy,41.12 N,41.12,16.87 E,16.87,5,Mediterranean hot summer climates,56.7, ,,,,,,,,,,,,,,,,,,,,,,,,,
34,"Chen, Y.,Wen, X.,Sun, Y.,Zhang, J.,Wu, W.,Liao, Y.
",2014,asia,China,35.565° N,35.565,109° E,109,1084,continental monsoon climate,66.2, ,,,,,,,,,,,,,,,,,,,,,,,,,
35,"Sajid, M.,Ahmad, S.,Jaskani, M. J.,Yasin, M.
",2018,Asia,Ppakistan,31.43333° N,31.43333,73.1° E,73.1,185,semi-arid climate and moderate climate,2.287, ,,,,,,,,,,,,,,,,,,,,,,,,,
36,"St. Laurent, A.,Merwin, I. A.,Thies, J. E.
",2008,north America,USA,42.49 N,42.49,76.51 W,-76.51,262, humid continental,96.52, ,,,,,,,,,,,,,,,,,,,,,,,,,
37,"Oliveira, M. T.,Merwin, I. A.
",2001,north America,USA,42.456296 N,42.456296,76.510467 W,-76.510467,404 ,moderate continental climate.,93.98, ,,,,,,,,,,,,,,,,,,,,,,,,,
38,"Neilsen, G.,Forge, T.Angers, D.,Neilsen, D.,Hogue, E.
",2014,north America,Canada,49.56652 N,49.56652,119.63604 W,-119.63604,412,humid continental climate,30.734, ,,,,,,,,,,,,,,,,,,,,,,,,,
39,"Bavougian, C. M.,Read, P. E.
",2018,North America,USA,41.18N,41.18,97.00 W,-97,510,humid continental, , ,,,,,,,,,,,,,,,,,,,,,,,,,
40,"Sanchez, J. E.,Edson, C. E.,Bird, G. W.,Whalon, M. E.,Willson, T. C.,Harwood, R. R.,Kizilkaya, K.,Nugent, J. E.,Klein, W.,Middleton, A.,Loudon, T. L.,Mutch, D. R., Scrimger, J.


",2003,North America,USA,44.882005 N,44.882005,85.67529 W,-85.67529,221,Warm-summer humid continental,72, ,,,,,,,,,,,,,,,,,,,,,,,,,
41,"Pinamonti, F.",1998,Europe,Italy,45.976348 N,45.976348,11.117292 E,11.117292,210,Humid subtropical climate,90, ,,,,,,,,,,,,,,,,,,,,,,,,,
42,"Treder Waldemar,Krzysztof Klamkowski,Augusty Mika,Augusty 
Wojcik,Pawel Wojcik",2004,Europe,Polland,51.961416 N,51.961416,20.15274 E,20.15274,138,temperate,50, ,,,,,,,,,,,,,,,,,,,,,,,,,
43,"Susaj, L.,Susaj, E.,Belegu, M.,Mustafa, S.,Dervishi, B.,Ferraj, B.
",2013,Europe,Albania,42.288831 N,42.288831,19.50305 E,19.50305,708,Mediterranean,125, ,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Kumari, R.,Kundu, M.,Das, A.,Rakshit, R.,Sahay, S.,Sengupta, S.,Ahmad, M. F.
",2020,Asia,India,22.95114°N,22.95114,87.03444° E,87.03444,448,modified tropical monsoon,117, ,,,,,,,,,,,,,,,,,,,,,,,,,
45,"Ferraj, Bardhosh,Teqja, Zydi,Susaj, Lush, Fasllia, Ndoc,Gjeta, Zef,Vata, Ndoc,Balliu, Astrit",2011,Europe,Albania,40.450938 N,40.450938,19.490776 E,19.490776,708,Mediterranean ,150, ,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Hussain, S.,Sharma, M. K.,War, A. R.,Hussain, B.
",2020,Asia,India,34.15° N,34.15,74.86667° E,74.86667,1500,temperate,65, ,,,,,,,,,,,,,,,,,,,,,,,,,
47,"Sumeet, Sharma,Sharma, D. P.",2019,Asia,India,30.85° N ,30.85,76.18333° E,76.18333,1250,himid subtropical,4.716667, ,,,,,,,,,,,,,,,,,,,,,,,,,
48,"Brar, J. S.,Gill, K. S.,Arora, N. K.,Arora, N. K.,Tarundeep, Kaur

",2017,Asia,India,30.90089 N,30.90089,75.807359 E,75.807359,262, semi-arid,72.6, ,,,,,,,,,,,,,,,,,,,,,,,,,
49,"Sharma, D. P.,Negi, P.Sharma, S.
Negi, P.
Sharma, S.",2019,Asia,India,31.847192 N,31.847192,76.874744 E,76.874744,1250,sub-humid mid hill,11, ,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Sharma, S.,Sharma, D. P.",2019,Asia,India,30.85° N,30.85,30.85° E,30.85,1250,sub-humid mid hill,11, ,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Das, Biswajit,Harekrishna,Ranjan, J K,Pragya,Ahmed, N,Attri, B L",2016,Asia,India,29.459177 N,29.459177,79.656114 E,79.656114,2133,subtropical highland,147.9, ,,,,,,,,,,,,,,,,,,,,,,,,,
52,"Fredrikson, L.,Skinkis, P. A.,Peachey, E.",2011,North America,USA,44.77 N,44.77,123.18 W,-123.18,60,temperate oceanic,109.22, ,,,,,,,,,,,,,,,,,,,,,,,,,
53,"Cline, J.,Neilsen, G.,Hogue, E.,Kuchta, S.,Neilsen, D.",2011,North America,Canada,49.74222° N,49.74222,119.7719° W,-119.7719,360,humid continental,30.9, ,,,,,,,,,,,,,,,,,,,,,,,,,
54,"Cline, J.,Neilsen, G.,Hogue, E.,Kuchta, S.,Neilsen, D.",2011,North America,Canada,49.57139° N,49.57139,119.6361° W,-119.6361,454,humid continental,33.7, ,,,,,,,,,,,,,,,,,,,,,,,,,
55,"Cline, J.,Neilsen, G.,Hogue, E.,Kuchta, S.,Neilsen, D.",2011,North America,Canada,49.56639° N,49.56639,119.6367° W,-119.6367,454,humid continental,33.7, ,,,,,,,,,,,,,,,,,,,,,,,,,
56,"TerAvest, Dan,Smith, Jeffrey L.,Carpenter-Boggs, Lynne,Granatstein, David,Hoagland, Lori
,Reganold, John P.
",2011,North America,USA,47.430305 N,47.430305,120.335437 E,120.335437,236,dry-summer subtropical,21.6, ,,,,,,,,,,,,,,,,,,,,,,,,,
57,"Sharma, S.,Sharma, D. P.",2018,Asia,India,31.223912 N,31.223912,76.967797 E,76.967797,1551,humid subtropica,141.3, ,,,,,,,,,,,,,,,,,,,,,,,,,
58,"Singh, A. K.,Singh, S.,Appa Rao, V. V.,Bagle, B. G.,More, T. A.",2010,Asia,India,22.6102 N,22.6102,73.463138 E,73.463138,81,semi-arid hot climate,80.34, ,,,,,,,,,,,,,,,,,,,,,,,,,
